,Mintimes,Mintypes,Errors,Units,Data_group,Ecorr,OC,Weights
424,2459712.16023738,0,1.4000035141e-05,,TESS Sector 51,25346.0,-5.693640559911728e-05,5102015203.449205
425,2459712.32200578,0,1.4464488932e-05,,TESS Sector 51,25347.0,-5.898205563426018e-05,4779624878.283701
426,2459712.48378498,0,1.5656900379e-05,,TESS Sector 51,25348.0,-5.022808909416199e-05,4079326094.227997
427,2459712.64555754,0,1.3519417076e-05,,TESS Sector 51,25349.0,-4.811398684978485e-05,5471218603.045636
428,2459712.8073212,0,1.5287016145e-05,,TESS Sector 51,25350.0,-5.4900068789720535e-05,4279120846.0516977
429,2459712.96908693,0,1.1940499123e-05,,TESS Sector 51,25351.0,-5.961582064628601e-05,7013826811.678782
430,2459713.13086621,0,1.0531124705e-05,,TESS Sector 51,25352.0,-5.07822260260582e-05,9016759559.461615
431,2459713.29263776,0,1.2679985036e-05,,TESS Sector 51,25353.0,-4.967814311385155e-05,6219600903.186817
432,2459713.45441715,0,1.2447462283e-05,,TESS Sector 51,25354.0,-4.07341867685318e-05,6454139707.802825
433,2459713.61619301,0,1.2007062637e-05,,TESS Sector 51,25355.0,-3.5319942981004715e-05,6936277306.9627905
434,2459713.77794417,0,1.2486966235e-05,,TESS Sector 51,25356.0,-5.460623651742935e-05,6413367479.154571
435,2459713.93970733,0,1.2817399436e-05,,TESS Sector 51,25357.0,-6.189197301864624e-05,6086956002.422212
436,2459714.10148904,0,1.1992499671e-05,,TESS Sector 51,25358.0,-5.0628092139959335e-05,6953133526.309742
437,2459714.26324848,0,1.349790177e-05,,TESS Sector 51,25359.0,-6.163399666547775e-05,5488674465.701969
438,2459714.42500476,0,1.2386919752e-05,,TESS Sector 51,25360.0,-7.58003443479538e-05,6517384627.349924
439,2459714.58679015,0,1.0146549009e-05,,TESS Sector 51,25361.0,-6.085587665438652e-05,9713221336.912554
440,2459714.74857364,0,1.1867163249e-05,,TESS Sector 51,25362.0,-4.7812238335609436e-05,7100781786.085586
441,2459714.91034773,0,1.0999815349e-05,,TESS Sector 51,25363.0,-4.416797310113907e-05,8264740278.96252
442,2459715.0721205,0,8.695693958e-06,,TESS Sector 51,25364.0,-4.184432327747345e-05,13224872904.169573
443,2459715.23389107,0,1.0873522897e-05,,TESS Sector 51,25365.0,-4.172045737504959e-05,8457839769.436067
444,2459715.39566204,0,9.952774031e-06,,TESS Sector 51,25366.0,-4.119612276554108e-05,10095125263.765455
445,2459715.55743618,0,1.0456807459e-05,,TESS Sector 51,25367.0,-3.750249743461609e-05,9145380453.90491
446,2459715.71920033,0,1.0488704508e-05,,TESS Sector 51,25368.0,-4.3798238039016724e-05,9089841261.299582
447,2459715.88095324,0,1.075400174e-05,,TESS Sector 51,25369.0,-6.133411079645157e-05,8646887231.994898
448,2459716.04271669,0,1.2370886969e-05,,TESS Sector 51,25370.0,-6.833020597696304e-05,6534288754.7409935
449,2459716.20450324,0,1.176902503e-05,,TESS Sector 51,25371.0,-5.2226241677999496e-05,7219697926.886792
450,2459716.36626023,0,1.0407557887e-05,,TESS Sector 51,25372.0,-6.568199023604393e-05,9232138896.301502
451,2459716.52802937,0,1.0131279617e-05,,TESS Sector 51,25373.0,-6.698817014694214e-05,9742522028.730309
452,2459716.68981802,0,1.4344982683e-05,,TESS Sector 51,25374.0,-4.878407344222069e-05,4859593509.905959
453,2459716.85159898,0,1.2503465717e-05,,TESS Sector 51,25375.0,-3.827037289738655e-05,6396452581.182128
454,2459717.01336674,0,1.1798815992000001e-05,,TESS Sector 51,25376.0,-4.095584154129028e-05,7183285762.210699
455,2459717.17513733,0,1.2304826676e-05,,TESS Sector 51,25377.0,-4.08124178647995e-05,6604637691.557269
456,2459717.33690273,0,1.2964319496e-05,,TESS Sector 51,25378.0,-4.5857857912778854e-05,5949775092.751181
457,2459717.49866305,0,1.4339615562e-05,,TESS Sector 51,25379.0,-5.598412826657295e-05,4863231948.794042
458,2459997.52330312,0,1.048731231e-05,,This Study,27110.0,-5.7940371334552765e-05,9092254786.981064
459,2460038.45123119,0,2.09683e-05,,AAVSO,27363.0,-5.2708201110363007e-05,2274435141.474444
460,2460053.49588743,0,7.360066103e-06,,This Study,27456.0,-4.7946348786354065e-05,18460207154.386482
461,2460056.569466,0,3e-06,,Ždánice ,27475.0,-0.00010784994810819626,111111111111.1111
462,2460069.349345,0,1.4e-05,,Ždánice ,27554.0,-9.408406913280487e-05,5102040816.32653
463,2460080.51155645,0,1.3159797888e-05,,This Study,27623.0,-4.3408479541540146e-05,5774329487.076561
464,2460088.43828278,0,3.37571e-05,,AAVSO,27672.0,-6.893230602145195e-05,877545693.9273366
465,2460107.52723802,0,3.19653e-05,,AAVSO,27790.0,-2.632010728120804e-05,978683869.8385516
466,2460128.395626,0,1.3108730215e-05,,This Study,27919.0,-2.5874003767967224e-05,5819407225.374403
467,2460317.66702967,0,2.71575e-05,,AAVSO,29089.0,-4.402408376336098e-05,1355877405.2597823
468,2460332.71174661,0,4.05361e-05,,AAVSO,29182.0,2.1437648683786392e-05,608577756.2434695
469,2460359.56558752,0,1.7310878151e-05,,This Study,29348.0,-3.168778494000435e-05,3337042986.5489993
470,2460369.59533181,0,2.060282115e-05,,This Study,29410.0,-5.505001172423363e-05,2355844467.4252644
471,2460388.52246676,0,5.43797e-05,,AAVSO,29527.0,-6.228219717741013e-05,338163231.7414804
472,2460388.522489,0,1e-05,,Literature,29527.0,-4.00422140955925e-05,9999999999.999998
473,2460395.64041698,0,1.3313127173e-05,,TESS Sector 77-FFI,29571.0,-1.1686235666275024e-05,5642087781.789343
474,2460395.80217919,0,1.4476701279e-05,,TESS Sector 77-FFI,29572.0,-1.992238685488701e-05,4771564227.425747
475,2460395.96395442,0,1.4430119956e-05,,TESS Sector 77-FFI,29573.0,-1.5138182789087296e-05,4802419760.024318
476,2460396.12572051,0,1.4988511938e-05,,TESS Sector 77-FFI,29574.0,-1.9494444131851196e-05,4451260013.657242
477,2460396.28749194,0,1.4938776406e-05,,TESS Sector 77-FFI,29575.0,-1.8510036170482635e-05,4480948430.922446
478,2460396.44926582,0,1.5021747661e-05,,TESS Sector 77-FFI,29576.0,-1.5076249837875366e-05,4431584914.851591
479,2460396.61103685,0,1.7418429793e-05,,TESS Sector 77-FFI,29577.0,-1.4491844922304153e-05,3295960476.4527144
480,2460396.77281196,0,1.5551859011e-05,,TESS Sector 77-FFI,29578.0,-9.828247129917145e-06,4134617887.6435037
481,2460396.93457664,0,1.4639832814e-05,,TESS Sector 77-FFI,29579.0,-1.5594065189361572e-05,4665817693.910353
482,2460397.09635044,0,1.3866613041e-05,,TESS Sector 77-FFI,29580.0,-1.2240372598171234e-05,5200668922.570836
483,2460397.25812258,0,1.4723405857e-05,,TESS Sector 77-FFI,29581.0,-1.0545831173658371e-05,4612999764.837935
484,2460397.41990566,0,1.4130794401e-05,,TESS Sector 77-FFI,29582.0,2.088025212287903e-06,5008029112.57522
485,2460397.58166419,0,1.4021581348e-05,,TESS Sector 77-FFI,29583.0,-9.827781468629837e-06,5086347268.15335
486,2460397.74343237,0,1.4312699781e-05,,TESS Sector 77-FFI,29584.0,-1.2094154953956604e-05,4881540271.90084
487,2460397.90521592,0,2.1869809869e-05,,TESS Sector 77-FFI,29585.0,1.0100193321704865e-06,2090787934.4539258
488,2460398.06697464,0,1.8316535094e-05,,TESS Sector 77-FFI,29586.0,-1.0716263204813004e-05,2980666285.0496597
489,2460398.2287524,0,1.5085156925e-05,,TESS Sector 77-FFI,29587.0,-3.402121365070343e-06,4394407582.043513
490,2460398.39052293,0,2.2720271732e-05,,TESS Sector 77-FFI,29588.0,-3.31830233335495e-06,1937193296.915872
491,2460398.5523009,0,1.545687566e-05,,TESS Sector 77-FFI,29589.0,4.206318408250809e-06,4185588926.463155
492,2460398.71406238,0,1.9374935835e-05,,TESS Sector 77-FFI,29590.0,-4.759989678859711e-06,2663909423.728347
493,2460398.87583865,0,1.8164798621e-05,,TESS Sector 77-FFI,29591.0,1.0635703802108765e-06,3030671220.658338
494,2460399.03760213,0,1.8386449052e-05,,TESS Sector 77-FFI,29592.0,-5.902256816625595e-06,2958041581.609904
495,2460399.19937674,0,1.7932351874e-05,,TESS Sector 77-FFI,29593.0,-1.7383135855197906e-06,3109750137.7664547
496,2460399.36114816,0,1.8919656368e-05,,TESS Sector 77-FFI,29594.0,-7.641501724720001e-07,2793659756.1261845
497,2460404.86134652,0,2.1774260169e-05,,TESS Sector 77-FFI,29628.0,2.4316832423210144e-06,2109177765.5970626
498,2460405.02311346,0,1.9082238145e-05,,TESS Sector 77-FFI,29629.0,-1.0742805898189545e-06,2746258265.0989943
499,2460405.18487858,0,2.1011274243e-05,,TESS Sector 77-FFI,29630.0,-6.400514394044876e-06,2265140876.7277336
500,2460405.34664231,0,2.0529068146e-05,,TESS Sector 77-FFI,29631.0,-1.3116281479597092e-05,2372802150.508041
501,2460405.50841275,0,2.0529068107e-05,,TESS Sector 77-FFI,29632.0,-1.3122335076332092e-05,2372802159.5234814
502,2460405.50841512,0,1.4894641754e-05,,This Study,29632.0,-1.07521191239357e-05,4507542974.656209
503,2460405.6701832,0,2.0529068133e-05,,TESS Sector 77-FFI,29633.0,-1.3118144124746323e-05,2372802153.513188
504,2460405.83195365,0,2.0529068081e-05,,TESS Sector 77-FFI,29634.0,-1.311441883444786e-05,2372802165.533774
505,2460405.9937241,0,2.0529068185e-05,,TESS Sector 77-FFI,29635.0,-1.3110227882862091e-05,2372802141.4926023
506,2460406.15549455,0,2.0529068126e-05,,TESS Sector 77-FFI,29636.0,-1.3106502592563629e-05,2372802155.1313443
507,2460406.317265,0,2.0529068133e-05,,TESS Sector 77-FFI,29637.0,-1.3101845979690552e-05,2372802153.513188
508,2460406.47903545,0,2.0529068159e-05,,TESS Sector 77-FFI,29638.0,-1.309812068939209e-05,2372802147.5028954
509,2460406.64080709,0,1.9556525704e-05,,TESS Sector 77-FFI,29639.0,-1.1904165148735046e-05,2614668252.8443966
510,2460406.80258792,0,1.9155065036e-05,,TESS Sector 77-FFI,29640.0,-1.5203841030597687e-06,2725415605.293416
511,2460406.96434807,0,2.0748810491e-05,,TESS Sector 77-FFI,29641.0,-1.1816155165433884e-05,2322809490.676389
512,2460410.52328059,0,5.781980309e-06,,This Study,29663.0,-2.910848706960678e-05,29912091688.455727
513,2460411.49388249,0,2.76071e-05,,AAVSO,29669.0,-4.9884431064128876e-05,1312074282.8520796
514,2460415.53809443,0,3.7375141613e-05,,This Study,29694.0,-9.909411892294884e-05,715870236.5046594
515,2460418.61177418,0,1.20964e-05,,AAVSO,29713.0,-5.781790241599083e-05,6834200580.447573
516,2460419.25891708,0,2.2639625997e-05,,TESS Sector 77-FFI,29717.0,3.2978132367134094e-06,1951019022.4956415
517,2460419.42068431,0,2.266875593e-05,,TESS Sector 77-FFI,29718.0,8.195638656616211e-08,1946008025.1902323
518,2460419.58245421,0,2.1653192557e-05,,TESS Sector 77-FFI,29719.0,-4.637986421585083e-07,2132829426.3414118
519,2460419.74422929,0,2.101618493e-05,,TESS Sector 77-FFI,29720.0,4.169996827840805e-06,2264082445.015696
520,2460419.906001,0,1.9876638863e-05,,TESS Sector 77-FFI,29721.0,5.434267222881317e-06,2531127986.0499988
521,2460420.06778075,0,1.9806095291e-05,,TESS Sector 77-FFI,29722.0,1.473771408200264e-05,2549190384.2099166
522,2460420.22954112,0,1.8263515685e-05,,TESS Sector 77-FFI,29723.0,4.6622008085250854e-06,2997997291.2543726
523,2460420.39130666,0,1.8223836944e-05,,TESS Sector 77-FFI,29724.0,-2.4400651454925537e-07,3011066576.3468995
524,2460420.55308415,0,1.8740860566e-05,,TESS Sector 77-FFI,29725.0,6.800051778554916e-06,2847219445.209591
525,2460420.71486394,0,1.6437576291e-05,,TESS Sector 77-FFI,29726.0,1.6144011169672012e-05,3701045608.3278594
526,2460420.87662997,0,1.5281947614e-05,,TESS Sector 77-FFI,29727.0,1.1727679520845413e-05,4281959810.555087
527,2460421.03839968,0,1.5158485817e-05,,TESS Sector 77-FFI,29728.0,1.0991934686899185e-05,4351994687.373181
528,2460421.20017546,0,1.4824506912e-05,,TESS Sector 77-FFI,29729.0,1.632561907172203e-05,4550294296.713625
529,2460421.36193355,0,1.6129414494e-05,,TESS Sector 77-FFI,29730.0,3.969762474298477e-06,3843817811.424391
530,2460421.52370962,0,1.3062913795e-05,,TESS Sector 77-FFI,29731.0,9.593553841114044e-06,5860300395.837106
531,2460421.68548405,0,1.3578547655e-05,,TESS Sector 77-FFI,29732.0,1.3577751815319061e-05,5423671262.513451
532,2460421.84725314,0,1.632291202e-05,,TESS Sector 77-FFI,29733.0,1.2221746146678925e-05,3753226036.4695187
533,2460422.00901822,0,1.8447030887e-05,,TESS Sector 77-FFI,29734.0,6.855931133031845e-06,2938644495.2003527
534,2460422.17078602,0,1.7355854446e-05,,TESS Sector 77-FFI,29735.0,4.209578037261963e-06,3319770041.5594263
535,2460422.33255487,0,1.8433172935e-05,,TESS Sector 77-FFI,29736.0,2.6137568056583405e-06,2943064667.721239
536,2460422.49432921,0,1.8062672918e-05,,TESS Sector 77-FFI,29737.0,6.507616490125656e-06,3065038715.211349
537,2460422.65610051,0,1.7585654249e-05,,TESS Sector 77-FFI,29738.0,7.362104952335358e-06,3233575007.448275
538,2460422.81787665,0,1.9677640812e-05,,TESS Sector 77-FFI,29739.0,1.3055745512247086e-05,2582580944.4938684
539,2460422.97965697,0,1.9520746791e-05,,TESS Sector 77-FFI,29740.0,2.2930093109607697e-05,2624261709.615368
540,2460423.14141807,0,2.0178024512e-05,,TESS Sector 77-FFI,29741.0,1.3583805412054062e-05,2456081135.667513
541,2460423.30318965,0,2.1673408964e-05,,TESS Sector 77-FFI,29742.0,1.4718156307935715e-05,2128852383.4998393
542,2460423.46495354,0,2.305996232e-05,,TESS Sector 77-FFI,29743.0,8.161645382642746e-06,1880541029.8947515
543,2460434.46530158,0,1.79944e-05,,AAVSO,29811.0,-3.412645310163498e-05,3088341088.6206465
