Mintimes,Mintypes,Errors,Ecorr,O-C,Data Group,Units,RA
2456679.606700,1,0.001,IBVS 6165 ,,ccd,BJD,
2456680.532400,0,0.001,IBVS 6165 ,,ccd,BJD,
2456687.572600,0,0.001,IBVS 6165 ,,ccd,BJD,
2456699.618100,1,0.001,IBVS 6165 ,,ccd,BJD,
2456701.655400,0,0.001,IBVS 6165 ,,ccd,BJD,
2456707.583700,0,0.001,IBVS 6165 ,,ccd,BJD,
2457029.607500,0,0.001,IBVS 6167 ,,ccd,BJD,
2457067.591800,1,0.001,OEJV 0179,,ccd,BJD,
2457119.469900,1,0.001,BAVM 244 (= IBVS 6196) ,,ccd,BJD,
2457126.321957,0,0.001,IBVS 6191 ,,ccd,BJD,
2457128.362400,1,0.001,BAVM 244 (= IBVS 6196) ,,ccd,BJD,
2457128.548900,0,0.001,BAVM 244 (= IBVS 6196) ,,ccd,BJD,
2457153.745700,0,0.001,JAAVSO-44,,ccd,BJD,
2457162.266857,0,0.001,IBVS 6191 ,,ccd,BJD,
2457188.392957,1,0.001,IBVS 6191 ,,ccd,BJD,
2457409.624225,1,0.001,OEJV 0179,,ccd,BJD,
2457410.548600,0,0.001,OEJV 0179,,ccd,BJD,
2457489.482300,0,0.001,BAVM 244 (= IBVS 6196) ,,ccd,BJD,
2457515.420100,0,0.001,OEJV 0179,,ccd,BJD,
2457516.349300,1,0.001,OEJV 0179,,ccd,BJD,
2457516.532400,0,0.001,BAVM 244 (= IBVS 6196) ,,ccd,BJD,
2457531.725900,0,0.001, JAAVSO 45-1 ,,ccd,BJD,
2457568.412500,0,0.001,OEJV 0179,,ccd,BJD,
2457825.588400,0,0.001,OEJV 0194,,ccd,BJD,
2457828.551200,0,0.001,OEJV 0194,,ccd,BJD,
2457843.374800,0,0.001,BAVM 247 (=IBVS 6244) ,,ccd,BJD,
2457843.559300,1,0.001,BAVM 247 (=IBVS 6244) ,,ccd,BJD,
2457846.525000,1,0.001,BAVM 247 (=IBVS 6244) ,,ccd,BJD,
2457876.724700,0,0.001, JAAVSO 46-2 ,,ccd,BJD,
2458215.425754,0,0.001,TS,,ccd,BJD,
2458208.385258,0,0.001,TS,,ccd,BJD,
2458234.512952,1,0.001,TS,,ccd,BJD,
